"","Name","Brands","Discounted_Price","Original_Price","Ratings","Sponsorship"
"134","Men's Solid Regular Fit T-Shirt","DAMENSCH","549","999","4.3","Not Sponsered"
"135","Men Cotton Feel Super Stretchy Slim fit Polyester T Shirt","DOMIN8","849","1,299","No Rating","Not Sponsered"
"136","Mens Oversized Printed Half Sleeve Branded Cotton T-Shirt for Mens || Back Printed t Shirts for Men || Oversized t Shirts for Men","fanideaz","1,299","999","4.1","Not Sponsered"
"137","Graphic Printed T-Shirt for Men & Women | Naruto-Sasuke t Shirts Naruto-Shippuden-Anime, Anime-Gift tee Shirt","Workshop","399","999","No Rating","Not Sponsered"
"138","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve Love is Complex Quote Physics, Chemistry, Computer Science, Engineering (X-Large, Dark Navy)","Qworld","649","999","No Rating","Not Sponsered"
"139","Glow in Dark Avengers End Game Graphics Printed Cotton Gym Tshirt for Men","bluehaaat","599","999","4.0","Not Sponsered"
"140","Graphic Printed T-Shirt for Men & Women | Coder at Work T-Shirt Funny Quotes Geek & Nerd tees","Workshop","499","999","No Rating","Not Sponsered"
"141","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Biology Quote Physics, Chemistry, Computer Science, Engineering Black","Qworld","599","999","No Rating","Not Sponsered"
"142","Graphic Printed T-Shirt for Men & Women | Kakashi Hatake Sharingan T Shirts Kakashi Sensei, Anime Naruto tees","Workshop","699","649","No Rating","Not Sponsered"
"143","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Biology Quote Physics, Chemistry, Computer Science, Engineering Black","Qworld","697","649","4.2","Not Sponsered"
"144","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve with Mathematics Quote Physics, Chemistry, Computer Science, Engineering (X-Large, Dark Navy)","Qworld","499","274.50","4.1","Not Sponsered"
"145","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve Love is Complex Quote Physics, Chemistry, Computer Science, Engineering (Medium, Dark Navy)","Qworld","608","1,398","4.0","Not Sponsered"
"146","Men's Solid Regular Fit T-Shirt","DAMENSCH","449","1,499","4.0","Not Sponsered"
